x, y, z, yaw, roll, pitch
0.535629, -0.0134147, 0.0248248, 2.16606, -2.74939, 0.0508018
0.535069, -0.0125878, 0.0247738, 2.16642, -2.74963, 0.0516784
0.534509, -0.0117609, 0.0247228, 2.16679, -2.74986, 0.0525551
0.533949, -0.0109341, 0.0246718, 2.16715, -2.7501, 0.0534321
0.533389, -0.0101072, 0.0246208, 2.16751, -2.75033, 0.0543092
0.532829, -0.00928032, 0.0245698, 2.16765, -2.75058, 0.055278
0.532264, -0.00845723, 0.0245049, 2.16858, -2.75056, 0.0576863
0.531699, -0.00763507, 0.0244366, 2.16972, -2.75049, 0.0604418
0.531134, -0.0068129, 0.0243682, 2.17086, -2.75041, 0.0631972
0.530569, -0.00599074, 0.0242999, 2.172, -2.75032, 0.0659527
0.530004, -0.00516858, 0.0242316, 2.17314, -2.75024, 0.0687081
0.529439, -0.00434641, 0.0241633, 2.17428, -2.75015, 0.0714627
0.528872, -0.00352638, 0.0240878, 2.17547, -2.75014, 0.0743481
0.528302, -0.00270859, 0.0240048, 2.17673, -2.75021, 0.0773725
0.527733, -0.00189079, 0.0239218, 2.17798, -2.75028, 0.080397
0.527163, -0.001073, 0.0238388, 2.17937, -2.75034, 0.0833652
0.526591, -0.000258195, 0.0237466, 2.18079, -2.74955, 0.0865962
0.526017, 0.000554902, 0.023649, 2.1822, -2.74829, 0.089991
0.525443, 0.00136765, 0.0235504, 2.18365, -2.74706, 0.0933389
0.524866, 0.00217789, 0.0234442, 2.18498, -2.74621, 0.0965243
0.52429, 0.00298813, 0.023338, 2.1863, -2.74536, 0.0997077
0.523713, 0.00379837, 0.0232318, 2.18764, -2.7445, 0.102889
0.523137, 0.00460861, 0.0231256, 2.18898, -2.74363, 0.106068
0.522561, 0.00541886, 0.0230193, 2.19033, -2.74276, 0.109246
0.521984, 0.0062291, 0.0229131, 2.19168, -2.74189, 0.11242
0.521408, 0.00703934, 0.0228069, 2.19304, -2.74101, 0.115593
0.520831, 0.00784958, 0.0227007, 2.19439, -2.74012, 0.118765
0.520253, 0.00865708, 0.0225864, 2.19522, -2.74026, 0.120705
0.519674, 0.00946384, 0.02247, 2.19591, -2.74068, 0.122314
0.519094, 0.0102706, 0.0223535, 2.19659, -2.74109, 0.123923
0.518515, 0.0110774, 0.022237, 2.19727, -2.7415, 0.125533
0.517936, 0.0118841, 0.0221206, 2.19794, -2.74192, 0.127149
0.517354, 0.0126872, 0.0219937, 2.1987, -2.74236, 0.128954
0.516768, 0.013485, 0.021852, 2.19958, -2.74283, 0.131026
0.516182, 0.0142828, 0.0217103, 2.20047, -2.7433, 0.133098
0.515596, 0.0150806, 0.0215686, 2.20136, -2.74377, 0.135171
0.51501, 0.0158784, 0.0214269, 2.20224, -2.74424, 0.137245
0.514423, 0.0166762, 0.0212852, 2.20317, -2.74467, 0.139443
0.513837, 0.0174741, 0.0211436, 2.20447, -2.74478, 0.142507
0.513252, 0.0182719, 0.021002, 2.20577, -2.74489, 0.145573
0.512665, 0.0190697, 0.0208603, 2.20703, -2.74501, 0.148595
0.512079, 0.0198667, 0.0207164, 2.20803, -2.74528, 0.150957
