x y z normal_x normal_y normal_z
0.552612 -0.082399 0.0235447 -0.375156 -0.0454694 -0.925846
0.552821 -0.0814319 0.0234007 -0.375156 -0.0454694 -0.925846
0.553031 -0.0804647 0.0232566 -0.375156 -0.0454694 -0.925846
0.55324 -0.0794976 0.0231126 -0.365483 -0.0533072 -0.92929
0.55345 -0.0785304 0.0229685 -0.345035 -0.0700154 -0.935975
0.553659 -0.0775633 0.0228244 -0.345035 -0.0700154 -0.935975
0.553868 -0.0765961 0.0226804 -0.345035 -0.0700154 -0.935975
0.554078 -0.075629 0.0225363 -0.345035 -0.0700154 -0.935975
0.554287 -0.0746618 0.0223922 -0.345035 -0.0700154 -0.935975
0.554497 -0.0736947 0.0222482 -0.345035 -0.0700154 -0.935975
0.554706 -0.0727275 0.0221041 -0.345102 -0.0772853 -0.935378
0.554916 -0.0717604 0.02196 -0.345102 -0.0772853 -0.935378
0.555118 -0.0707921 0.0218177 -0.345102 -0.0772853 -0.935378
0.555156 -0.0697981 0.0217149 -0.345102 -0.0772853 -0.935378
0.555195 -0.0688042 0.0216121 -0.345102 -0.0772853 -0.935378
0.555234 -0.0678102 0.0215093 -0.345102 -0.0772853 -0.935378
0.555273 -0.0668163 0.0214064 -0.345102 -0.0772853 -0.935378
0.555311 -0.0658223 0.0213036 -0.339325 -0.0899958 -0.936354
0.55535 -0.0648284 0.0212008 -0.339325 -0.0899958 -0.936354
0.555389 -0.0638344 0.021098 -0.339325 -0.0899958 -0.936354
0.555427 -0.0628405 0.0209951 -0.337493 -0.0857067 -0.937418
0.555466 -0.0618466 0.0208923 -0.337493 -0.0857067 -0.937418
0.555458 -0.0608578 0.020803 -0.337493 -0.0857067 -0.937418
0.555171 -0.0598999 0.0207941 -0.337493 -0.0857067 -0.937418
0.554884 -0.0589419 0.0207851 -0.360373 -0.103673 -0.927029
0.554597 -0.057984 0.0207762 -0.360373 -0.103673 -0.927029
0.55431 -0.0570261 0.0207672 -0.336965 -0.111209 -0.934926
0.554023 -0.0560682 0.0207582 -0.336965 -0.111209 -0.934926
